Date,h,m,s,ms,Time,Wind,Auto,event,sex,Athlete,Nationality
"April 21, 1968",00,00,11,10,00:00:11.10,NA,NA,100,w,Wyomia Tyus,United States
"April 21, 1975",02,42,24,00,02:42:24.00,NA,NA,marathon,w,Liane Winter,West Germany
"April 21, 1985",02,21,06,00,02:21:06.00,NA,NA,marathon,w,Ingrid Kristiansen,Norway
"April 23, 1921",00,00,10,40,00:00:10.40,NA,NA,100,m,Charley Paddock,United States
"April 23, 2017",02,17,01,00,02:17:01.00,NA,NA,marathon,w,Mary Jepkosgei Keitany,Kenya
"April 26, 1980",02,09,01,00,02:09:01.00,NA,NA,marathon,m,Gerard Nijboer,Netherlands
"April 3, 1935",02,26,44,00,02:26:44.00,NA,NA,marathon,m,Yasuo Ikenaka,Japan
"April 3, 1976",00,00,09,90,00:00:09.90,0.7,NA,100,m,Harvey Glance,United States
"August 1, 1931",00,00,12,00,00:00:12.00,NA,NA,100,w,Leni Junker,Germany
"August 1, 1932",00,00,10,30,00:00:10.30,0.4,10.38,100,m,Eddie Tolan,United States
"August 1, 1932",00,00,11,90,00:00:11.90,NA,NA,100,w,Stanisława Walasiewicz[2],Poland
"August 1, 1937",00,00,11,60,00:00:11.60,NA,NA,100,w,Stanisława Walasiewicz[2],Poland
"August 10, 1936",00,00,11,50,00:00:11.50,NA,NA,100,w,Helen Stephens,United States
"August 11, 1934",00,00,11,90,00:00:11.90,NA,NA,100,w,Käthe Krauß,Germany
"August 11, 1962",00,28,18,20,00:28:18.20,NA,NA,10000,m,Pyotr Bolotnikov (URS),NA
"August 12, 1933",00,00,10,30,00:00:10.30,NA,NA,100,m,Ralph Metcalfe,United States
"August 12, 1939",00,00,46,00,00:00:46.00,NA,NA,400,m,Rudolf Harbig,Germany
"August 12, 1956",02,18,04,80,02:18:04.80,NA,NA,marathon,m,Paavo Kotila,Finland
"August 13, 1911",00,00,10,50,00:00:10.50,NA,NA,100,m,Richard Rau,Germany
"August 14, 2016",00,00,43,03,00:00:43.03,NA,NA,400,m,Wayde van Niekerk,South Africa
"August 15, 1964",00,00,10,00,00:00:10.00,0.0,NA,100,m,Horacio Esteves,Venezuela
"August 15, 1968",00,00,11,10,00:00:11.10,0.0,NA,100,w,Lyudmila Samotyosova,Soviet Union
"August 16, 2008",00,00,09,69,00:00:09.69,0.0,9.683,100,m,Usain Bolt,Jamaica
"August 16, 2009",00,00,09,58,00:00:09.58,0.9,9.572,100,m,Usain Bolt,Jamaica
