"County"	"id"	sun
"Tulare County, CA"	"06107"	19496.77
"Tuolumne County, CA"	"06109"	19114.68
"Ventura County, CA"	"06111"	20139.44
"Yolo County, CA"	"06113"	18741.92
"Yuba County, CA"	"06115"	18512.53
"Adams County, CO"	"08001"	17158.32
"Alamosa County, CO"	"08003"	18061.38
"Arapahoe County, CO"	"08005"	17301.14
"Archuleta County, CO"	"08007"	17866.68
"Baca County, CO"	"08009"	18140.45
"Bent County, CO"	"08011"	18072.77
"Boulder County, CO"	"08013"	16738.10
"Chaffee County, CO"	"08015"	17379.37
"Cheyenne County, CO"	"08017"	17547.90
"Clear Creek County, CO"	"08019"	16554.10
"Conejos County, CO"	"08021"	18322.41
"Costilla County, CO"	"08023"	17495.53
"Crowley County, CO"	"08025"	18125.47
"Custer County, CO"	"08027"	17446.24
"Delta County, CO"	"08029"	17145.10
"Denver County, CO"	"08031"	17102.48
"Dolores County, CO"	"08033"	17448.93
"Douglas County, CO"	"08035"	17203.79
"Eagle County, CO"	"08037"	16734.50
"Elbert County, CO"	"08039"	17483.99
"El Paso County, CO"	"08041"	17638.55
"Fremont County, CO"	"08043"	17553.09
"Garfield County, CO"	"08045"	17140.36
"Gilpin County, CO"	"08047"	16515.33
"Grand County, CO"	"08049"	16694.03
"Gunnison County, CO"	"08051"	17307.54
"Hinsdale County, CO"	"08053"	17278.88
"Huerfano County, CO"	"08055"	17686.49
"Jackson County, CO"	"08057"	16742.06
"Jefferson County, CO"	"08059"	16863.52
"Kiowa County, CO"	"08061"	17802.76
"Kit Carson County, CO"	"08063"	17279.70
"Lake County, CO"	"08065"	17260.10
"La Plata County, CO"	"08067"	18189.30
"Larimer County, CO"	"08069"	16388.27
"Las Animas County, CO"	"08071"	18178.49
"Lincoln County, CO"	"08073"	17683.03
"Logan County, CO"	"08075"	16812.79
"Mesa County, CO"	"08077"	17315.22
"Mineral County, CO"	"08079"	17502.55
"Moffat County, CO"	"08081"	17241.66
"Montezuma County, CO"	"08083"	18145.60
"Montrose County, CO"	"08085"	17306.47
"Morgan County, CO"	"08087"	17183.43
"Otero County, CO"	"08089"	18171.06
